50,30,27,28,31,31,29,29,30,28,30,30,29,28,29,28,28,30,30,29,29,29,29,29,28,31,30,28,29,29,30,30,28,29,30,30,30,30,28,30,29,30,27,29,29,29,28,29,28,31,29,30,30,30,31,28,28,29,29,28,29,30,30,29,31,29,29,29,30,30,27,29,29,30,30,28,31,28,29,31,28,29,30,30,29,28,30,29,27,28,30,29,28,28,29,28,30,28,29,30,30
100,59,58,61,58,55,58,57,60,60,60,57,60,62,59,62,60,59,57,58,60,62,59,56,59,56,55,59,59,59,61,59,61,60,58,60,59,59,59,56,59,58,58,60,58,60,60,58,58,61,63,62,61,57,59,58,59,63,62,59,59,61,58,60,61,61,61,61,56,62,58,59,61,59,59,58,60,60,59,61,60,59,55,57,55,61,60,56,59,60,61,55,60,58,58,56,58,60,60,61,61
150,93,90,92,85,90,88,85,89,95,90,89,90,92,90,87,92,90,93,91,89,87,90,86,92,92,96,93,92,92,87,87,88,86,88,87,95,88,86,92,90,93,90,96,85,91,89,88,86,87,88,92,90,89,88,92,87,90,91,89,89,86,87,85,88,88,90,92,85,89,91,90,89,92,89,95,92,85,86,91,87,89,92,92,92,94,86,90,91,91,93,86,87,94,84,87,92,85,91,87,87
200,124,116,120,118,118,116,122,122,118,121,118,120,121,128,125,113,113,123,116,125,114,115,118,123,122,117,113,115,120,117,114,115,121,114,118,118,116,116,118,119,113,115,121,121,126,117,113,113,116,114,112,119,119,119,115,114,118,115,128,127,117,121,115,120,121,115,117,113,122,124,120,118,115,109,127,115,117,120,120,119,124,118,119,117,120,118,111,116,113,113,118,118,125,119,114,124,117,116,116,118
250,143,148,150,146,146,141,150,143,143,148,143,150,148,146,146,142,147,145,144,143,152,151,145,147,144,151,152,152,147,143,146,148,143,149,147,148,145,155,150,154,152,144,154,149,151,151,146,147,158,148,140,144,147,152,153,150,151,153,149,151,144,142,142,151,148,143,144,139,145,138,143,143,145,152,149,142,149,143,149,146,146,149,140,154,149,146,142,151,142,143,136,144,143,145,151,147,147,146,146,156
300,168,177,180,173,178,185,175,169,170,183,177,170,185,170,183,173,171,170,171,176,172,176,178,174,176,172,177,175,175,178,174,169,174,175,173,172,184,174,172,176,171,178,175,171,182,170,184,175,182,173,180,172,170,178,173,169,170,169,173,173,178,172,190,167,171,178,190,173,170,168,173,169,173,174,173,180,188,184,172,176,170,174,173,171,176,168,173,172,189,178,171,169,175,173,169,174,170,173,171,185
350,210,207,203,198,201,213,197,217,197,212,199,199,200,204,205,200,199,202,219,198,199,200,198,201,198,202,203,204,210,200,205,200,209,208,199,211,203,202,198,197,204,200,198,201,214,209,205,197,209,211,202,201,204,199,202,199,198,199,196,201,207,195,214,195,207,202,205,204,197,198,204,199,198,209,200,207,213,200,204,212,200,202,195,200,216,196,200,199,198,204,205,200,215,209,201,208,198,211,216,200
400,228,224,229,248,230,226,232,228,231,229,231,230,228,234,224,234,235,237,226,230,224,230,223,227,248,230,232,225,233,235,238,232,227,221,235,236,237,232,230,228,228,230,228,255,232,233,226,232,233,245,226,232,224,226,240,240,228,228,226,237,247,231,230,228,230,229,238,233,250,228,227,244,223,226,236,235,227,225,232,227,228,230,228,222,248,234,224,231,233,226,230,226,228,250,234,227,239,234,240,233
450,255,262,253,257,252,277,259,263,258,258,259,263,259,267,264,255,265,254,271,252,261,253,255,257,255,251,256,261,255,258,263,257,253,255,259,284,253,257,260,255,256,258,257,257,258,255,253,263,263,256,253,258,255,261,282,259,259,258,258,259,256,261,257,271,260,255,254,260,253,276,257,254,260,253,263,259,255,259,262,257,257,259,262,258,284,254,256,260,257,270,259,253,258,254,254,257,261,260,263,250
500,294,286,292,282,289,288,282,285,284,294,289,279,282,284,283,289,286,284,293,283,287,288,280,282,278,297,288,295,283,280,287,284,288,281,284,311,285,283,309,316,286,285,287,284,283,285,282,286,283,286,288,297,283,285,286,288,283,293,290,278,284,286,283,286,281,284,286,291,285,314,297,285,283,284,279,285,285,284,305,287,292,314,286,285,283,284,289,280,297,289,283,283,288,286,297,282,282,290,291,285
